,Image Name,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Z Position,Cell: ObjectID,Cell: DAPI_Area_Average,Cell: DAPI_Integrated_Intensity,Cell: DAPI_Average_Intensity,Cell: FITC_Integrated_Intensity,Cell: FITC_Average_Intensity,Cell: TRITC_Integrated_Intensity,Cell: TRITC_Average_Intensity,Cell: CY5_Integrated_Intensity,Cell: CY5_Average_Intensity,Cell: Features Count_Sum,Cell: Nuc_Area_Sum,Cell: NucFITC_Integrated_Intensity_Sum,Cell: NucFITC_Average_Intensity_Sum
0,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,1.0,337.1882625,791954.0,244.27945712523135,397052.0,122.47131400370142,407715.0,125.76033312769896,431224.0,133.01172115977792,0.0,65535.0,65535.0,65535.0
1,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,2.0,294.5457,755431.0,266.74823446327684,336894.0,118.95974576271186,341575.0,120.61264124293785,396267.0,139.92478813559322,0.0,65535.0,65535.0,65535.0
2,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,3.0,349.04497499999997,1017071.0,303.06048867699644,412675.0,122.96632896305125,405608.0,120.86054827175208,395233.0,117.76907032181168,0.0,65535.0,65535.0,65535.0
3,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,4.0,241.29450000000003,685098.0,295.3008620689655,276371.0,119.12543103448276,280120.0,120.74137931034483,379311.0,163.49612068965519,0.0,65535.0,65535.0,65535.0
4,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,5.0,596.6838562500001,1404795.0,244.86578351054558,702705.0,122.48649119748998,732101.0,127.61042356632386,676303.0,117.88443437336588,0.0,65535.0,65535.0,65535.0
5,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,6.0,257.41546875,637080.0,257.4060606060606,299033.0,120.82141414141414,298995.0,120.80606060606061,306329.0,123.76929292929293,0.0,65535.0,65535.0,65535.0
6,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,7.0,283.10501250000004,688054.0,252.77516531961794,326309.0,119.87839823659074,329459.0,121.0356355620867,343488.0,126.1895664952241,0.0,65535.0,65535.0,65535.0
7,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,8.0,233.39002500000004,610887.0,272.2312834224599,270753.0,120.65641711229947,271886.0,121.16131907308377,282669.0,125.96657754010695,0.0,65535.0,65535.0,65535.0
8,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,9.0,414.46490625000007,1109466.0,278.41053952321204,479433.0,120.30941028858219,481495.0,120.82685069008782,460997.0,115.68306148055207,0.0,65535.0,65535.0,65535.0
9,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,10.0,291.52951875,907315.0,323.6942561541206,338800.0,120.87049589725294,341943.0,121.99179450588655,364903.0,130.1830181947913,0.0,65535.0,65535.0,65535.0
10,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,11.0,350.91708750000004,974563.0,288.84499110847656,407942.0,120.90752815649081,420444.0,124.61292234736219,506866.0,150.2270302311796,0.0,65535.0,65535.0,65535.0
11,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,12.0,186.1711875,534184.0,298.4268156424581,221532.0,123.7608938547486,216424.0,120.9072625698324,209448.0,117.01005586592179,0.0,65535.0,65535.0,65535.0
12,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,13.0,152.681175,488896.0,333.0354223433242,181693.0,123.76907356948229,178219.0,121.40258855585832,171704.0,116.96457765667574,0.0,65535.0,65535.0,65535.0
13,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,14.0,292.04955,801014.0,285.261396011396,336299.0,119.76460113960114,340682.0,121.32549857549857,374743.0,133.45548433048432,0.0,65535.0,65535.0,65535.0
14,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,15.0,212.79678750000002,558519.0,272.9809384164223,248065.0,121.24389051808407,245259.0,119.87243401759531,238403.0,116.52150537634408,0.0,65535.0,65535.0,65535.0
15,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,16.0,441.402525,1169631.0,275.5963713477851,520334.0,122.60461828463714,520210.0,122.57540056550424,493423.0,116.26366635249764,0.0,65535.0,65535.0,65535.0
16,DAPI-FIXED,15:53:36.219000,00:00:00,D03 : Site 1,440.0,12350.7,17.0,455.547375,1162091.0,265.3175799086758,534594.0,122.05342465753425,527995.0,120.54680365296804,508143.0,116.01438356164384,0.0,65535.0,65535.0,65535.0
17,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,1.0,279.3607875,794692.0,295.8644825018615,325526.0,121.19359642591213,322716.0,120.14743112434847,447515.0,166.6102010424423,0.0,65535.0,65535.0,65535.0
18,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,2.0,212.58877500000003,601824.0,294.4344422700587,249749.0,122.18639921722114,247043.0,120.86252446183953,270431.0,132.30479452054794,0.0,65535.0,65535.0,65535.0
19,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,3.0,178.37071875,619926.0,361.4728862973761,215383.0,125.58775510204082,208862.0,121.78542274052478,296479.0,172.8740524781341,0.0,65535.0,65535.0,65535.0
20,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,4.0,244.83071250000003,913002.0,387.85131690739166,285126.0,121.12404418011894,295925.0,125.71155480033984,275276.0,116.93967714528462,0.0,65535.0,65535.0,65535.0
21,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,5.0,339.99643125,999805.0,305.8442948914041,397923.0,121.72621596818598,397729.0,121.66687060263078,383970.0,117.45793820740288,0.0,65535.0,65535.0,65535.0
22,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,6.0,421.32931875,1146487.0,283.01333004196493,498250.0,122.99432238953345,492052.0,121.46432979511232,475597.0,117.4023697852382,0.0,65535.0,65535.0,65535.0
23,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,7.0,310.9786875,959495.0,320.90133779264215,364828.0,122.01605351170569,363415.0,121.54347826086956,350676.0,117.28294314381272,0.0,65535.0,65535.0,65535.0
24,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,8.0,325.53956250000005,1019360.0,325.6741214057508,387046.0,123.65686900958467,379971.0,121.3964856230032,367289.0,117.34472843450479,0.0,65535.0,65535.0,65535.0
25,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,9.0,387.1112625,1064221.0,285.9271896829662,455915.0,122.49193981730252,446009.0,119.83046749059645,432560.0,116.21708758731864,0.0,65535.0,65535.0,65535.0
26,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,10.0,344.78071875000006,1039671.0,313.6262443438914,407299.0,122.8654600301659,401082.0,120.99004524886878,388087.0,117.06998491704374,0.0,65535.0,65535.0,65535.0
27,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,11.0,246.49481250000002,621333.0,262.16582278481013,288776.0,121.8464135021097,293576.0,123.87172995780591,292877.0,123.57679324894515,0.0,65535.0,65535.0,65535.0
28,DAPI-FIXED,15:53:44.142000,00:00:00,D03 : Site 2,440.0,12348.62,12.0,255.43935000000002,633510.0,257.9438110749186,298660.0,121.6042345276873,301445.0,122.73819218241043,310432.0,126.39739413680782,0.0,65535.0,65535.0,65535.0
29,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,1.0,317.32306875,909332.0,298.0439200262209,371698.0,121.82825303179285,366359.0,120.07833497214028,417728.0,136.91510980006555,0.0,65535.0,65535.0,65535.0
30,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,2.0,210.19663125000002,533882.0,264.1672439386442,244996.0,121.22513607125185,242637.0,120.05789213260762,238425.0,117.9737753587333,0.0,65535.0,65535.0,65535.0
31,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,3.0,153.3052125,761581.0,516.6763907734057,180052.0,122.15196743554952,181255.0,122.96811397557666,174010.0,118.05291723202171,0.0,65535.0,65535.0,65535.0
32,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,4.0,433.18603125000004,1113463.0,267.3380552220888,508463.0,122.07995198079232,502848.0,120.73181272509004,491111.0,117.91380552220889,0.0,65535.0,65535.0,65535.0
33,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,5.0,214.35688125000001,560229.0,271.82387190684136,250733.0,121.65599223677826,249890.0,121.24696749150898,243095.0,117.95002426006793,0.0,65535.0,65535.0,65535.0
34,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,6.0,333.0280125,894498.0,279.3560274828232,390286.0,121.88819487820112,388336.0,121.27920049968769,434079.0,135.56495940037476,0.0,65535.0,65535.0,65535.0
35,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,7.0,284.87311875,916449.0,334.59255202628697,329639.0,120.35012778386272,326725.0,119.28623585250091,317976.0,116.092004381161,0.0,65535.0,65535.0,65535.0
36,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,8.0,325.1235375,960189.0,307.1621880998081,382308.0,122.29942418426104,379154.0,121.29046705054382,487941.0,156.0911708253359,0.0,65535.0,65535.0,65535.0
37,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,9.0,271.35230625,757920.0,290.5021080873898,315819.0,121.04982752012265,312939.0,119.94595630509774,365568.0,140.11805289382906,0.0,65535.0,65535.0,65535.0
38,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,10.0,303.69825000000003,974268.0,333.65342465753423,358460.0,122.76027397260275,353359.0,121.01335616438357,343542.0,117.6513698630137,0.0,65535.0,65535.0,65535.0
39,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,11.0,287.36926875,867449.0,313.9518639160333,333240.0,120.60803474484256,332428.0,120.31415128483532,387330.0,140.18458197611292,0.0,65535.0,65535.0,65535.0
40,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,12.0,310.04263125,781153.0,262.0439449849044,358865.0,120.3840992955384,360018.0,120.77088225427708,433103.0,145.28782287822878,0.0,65535.0,65535.0,65535.0
41,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,13.0,248.99096250000002,651580.0,272.172096908939,295812.0,123.56390977443608,295993.0,123.63951545530493,334178.0,139.58980785296575,0.0,65535.0,65535.0,65535.0
42,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,14.0,306.50641875,951639.0,322.9178825924669,359915.0,122.12928401764506,356112.0,120.83881913810654,346129.0,117.45130641330167,0.0,65535.0,65535.0,65535.0
43,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,15.0,319.091175,958369.0,312.375814863103,368007.0,119.95013037809647,365983.0,119.29041720990874,354674.0,115.60430247718384,0.0,65535.0,65535.0,65535.0
44,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,16.0,265.94398125000004,696986.0,272.57958545170123,314144.0,122.8564724286273,313084.0,122.44192412983966,401781.0,157.1298396558467,0.0,65535.0,65535.0,65535.0
45,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,17.0,138.12030000000001,453752.0,341.6807228915663,166371.0,125.27936746987952,160952.0,121.1987951807229,155603.0,117.17093373493977,0.0,65535.0,65535.0,65535.0
46,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,18.0,215.50095000000002,547204.0,264.0945945945946,246282.0,118.86196911196912,244932.0,118.2104247104247,237950.0,114.84073359073359,0.0,65535.0,65535.0,65535.0
47,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,19.0,140.51244375,461854.0,341.86084381939304,169799.0,125.6839378238342,163246.0,120.83345669874167,158297.0,117.17024426350851,0.0,65535.0,65535.0,65535.0
48,DAPI-FIXED,15:53:52.210000,00:00:00,D03 : Site 3,440.0,12350.4,20.0,232.66198125,569660.0,254.65355386678587,272343.0,121.7447474295932,276078.0,123.41439427805096,261715.0,116.99374161823872,0.0,65535.0,65535.0,65535.0
49,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,1.0,243.374625,701197.0,299.6568376068376,283519.0,121.16196581196581,282131.0,120.56880341880341,368085.0,157.30128205128204,0.0,65535.0,65535.0,65535.0
50,DAPI-FIXED,15:54:00.196000,00:00:00,D03 : Site 4,440.0,12353.52,2.0,170.154225,805579.0,492.4077017114914,204950.0,125.27506112469437,200348.0,122.46210268948656,193048.0,118.0,0.0,65535.0,65535.0,65535.0
